plotID,richness,shannon,simpson
GRSM_013,31,3.368446458,0.962603878
GRSM_006,22,3.014630014,0.946492271
GRSM_026,22,3.039115688,0.949245542
GRSM_001,41,3.635866954,0.971193416
GRSM_017,35,3.462801288,0.965142598
GRSM_023,33,3.405281014,0.963541667
GRSM_002,9,2.118649247,0.871111111
GRSM_019,14,2.557507739,0.916099773
GRSM_004,27,3.222101919,0.956902849
GRSM_007,29,3.302747653,0.96
GRSM_010,49,3.803768004,0.975147929
GRSM_014,34,3.45562443,0.965973535
GRSM_009,31,3.341639433,0.960142772
GRSM_055,28,3.286462961,0.960514233
GRSM_059,17,2.761625712,0.93
GRSM_058,44,3.700129373,0.973041068
GRSM_003,29,3.295065226,0.960142772
GRSM_012,26,3.183922422,0.955102041
GRSM_008,38,3.557885693,0.968934911
GRSM_015,62,4.055281415,0.981292517
GRSM_005,18,2.785122067,0.932362123
GRSM_011,40,3.604512331,0.97002551
GRSM_022,21,2.92519733,0.938605619
GRSM_018,26,3.184783965,0.955017301
GRSM_020,44,3.683875567,0.971462545
GRSM_021,47,3.762900384,0.974799123
GRSM_024,11,2.273965716,0.8828125
GRSM_027,17,2.780466369,0.934240363
GRSM_030,6,1.747868097,0.816326531
GRSM_025,9,2.145841753,0.876033058
GRSM_029,4,1.386294361,0.75
GRSM_016,7,1.889159164,0.839506173
GRSM_028,7,1.844621476,0.828402367
