scan,dxw,p90,d,dsd
TLS_GRSM_002,4.130550361,26,9.847976683,4.803137422
TLS_GRSM_003,4.466320172,22,5.475279657,3.201455403
TLS_GRSM_004,3.888659269,19,4.583513734,4.098660784
TLS_GRSM_006,3.818939254,18,3.592927485,3.201907534
TLS_GRSM_007,3.140944098,30,9.072993061,6.849199851
TLS_GRSM_008,3.114344806,33,12.06713003,9.449755643
TLS_GRSM_009,4.123050943,14,5.716633594,1.853375657
TLS_GRSM_010,3.900103316,16,5.40526613,1.814966674
TLS_GRSM_011,3.847030427,18,4.581455348,3.108823
TLS_GRSM_012,4.045671756,19,6.043204644,5.03623746
TLS_GRSM_014,4.727022406,11,3.804641397,1.497323067
TLS_GRSM_015,4.211270338,11,3.130764467,1.480649146
TLS_GRSM_016,4.32176681,18,4.812202702,4.265476406
TLS_GRSM_017,4.107310885,18,5.202273574,2.946454087
TLS_GRSM_019,4.078785921,18,4.596128806,1.652878583
TLS_GRSM_020,3.868022835,20,5.017239536,3.429499884
TLS_GRSM_021,2.850478999,26,8.775332825,3.582028896
TLS_GRSM_022,3.797516473,16,1.827574677,0.356723669
TLS_GRSM_023,4.118476055,18,4.219090883,2.59921681
TLS_GRSM_024,3.360017019,28,12.70500503,6.133077597
TLS_GRSM_025,3.392661535,25,8.521960404,5.948670547
TLS_GRSM_027,3.477062862,31,15.15900133,5.276007522
TLS_GRSM_028,3.491197504,33,13.68376269,7.462615563
TLS_GRSM_031,3.810847263,26,9.156275364,2.728613638
TLS_GRSM_032,3.68609206,27,10.920157,6.165555047
TLS_GRSM_033,3.680593749,27,8.40360504,5.243888943
TLS_GRSM_034,3.794199142,26,8.600246411,4.428149263
TLS_GRSM_1_000,3.486343547,23,5.924477017,3.606402515
TLS_GRSM_1_001,3.978753114,24,7.293197536,5.131429402
TLS_GRSM_1_002,3.230312726,17,2.263838685,1.255630344
TLS_GRSM_1_003,3.212080621,17,3.686024139,3.405360356
TLS_GRSM_1_004,3.32650772,30,11.87107436,5.824455861
TLS_GRSM_1_005,3.295602459,31,12.1502736,6.447059254
TLS_GRSM_1_006,3.165975412,12,2.194215375,0.964921682
TLS_GRSM_1_007,4.009407927,8,2.660861193,1.402605289
TLS_GRSM_1_009,3.897881505,15,5.931503611,2.364615979
TLS_GRSM_1_010,4.154704306,15,5.963776156,2.134832284
TLS_GRSM_1_012,4.0709913,12,3.258805652,1.168395464
TLS_GRSM_1_013,4.119204173,13,4.150016575,1.728183271
TLS_GRSM_1_014,4.200277717,12,2.954910508,1.297185525
TLS_GRSM_1_015,4.627206728,11,3.256546166,1.00742521
TLS_GRSM_1_016,3.622253209,20,7.959296039,3.280527603
TLS_GRSM_1_017,3.782732494,21,8.283736134,4.121939905
TLS_GRSM_1_018,3.770152877,21,6.554124305,4.538472606
TLS_GRSM_1_019,3.809268294,20,6.891184062,5.030408802
TLS_GRSM_1_021,3.525093572,18,5.961602626,2.742177834
TLS_GRSM_1_022,3.530384938,29,14.32244613,7.753530492
TLS_GRSM_1_023,4.093933049,27,8.447538719,6.198515985
TLS_GRSM_1_024,3.654701676,28,7.675463138,7.027869794
TLS_GRSM_1_025,3.723247692,27,4.792730411,2.141878836
TLS_GRSM_1_029,3.898187803,28,11.02012348,2.776448905
TLS_GRSM_1_030,3.668371026,27,10.13863462,4.084886026
TLS_GRSM_1_031,3.601617901,28,10.09276405,5.631947328
TLS_GRSM_1_032,3.783171199,29,10.35103795,4.963207811
